"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 17:48:26 GMT 2021","Sun Aug 22 17:48:26 GMT 2021","147","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Sun Aug 22 17:48:25 GMT 2021","Sun Aug 22 17:48:25 GMT 2021","175","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Sun Aug 22 17:48:25 GMT 2021","Sun Aug 22 17:48:25 GMT 2021","145","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Sun Aug 22 17:48:26 GMT 2021","Sun Aug 22 17:48:26 GMT 2021","161","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Sun Aug 22 17:48:25 GMT 2021","Sun Aug 22 17:48:25 GMT 2021","148","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Sun Aug 22 17:48:25 GMT 2021","Sun Aug 22 17:48:26 GMT 2021","233","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Sun Aug 22 17:48:25 GMT 2021","Sun Aug 22 17:48:25 GMT 2021","211","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Sun Aug 22 17:48:25 GMT 2021","Sun Aug 22 17:48:25 GMT 2021","175","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Sun Aug 22 17:48:26 GMT 2021","Sun Aug 22 17:48:26 GMT 2021","149","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Sun Aug 22 17:48:22 GMT 2021","Sun Aug 22 17:48:24 GMT 2021","2829","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
