"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 03:58:39 GMT 2021","Mon Aug 23 03:58:39 GMT 2021","155","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 03:58:35 GMT 2021","Mon Aug 23 03:58:38 GMT 2021","2548","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 03:58:39 GMT 2021","Mon Aug 23 03:58:39 GMT 2021","173","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 03:58:38 GMT 2021","Mon Aug 23 03:58:39 GMT 2021","165","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 03:58:38 GMT 2021","Mon Aug 23 03:58:38 GMT 2021","207","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 03:58:39 GMT 2021","Mon Aug 23 03:58:39 GMT 2021","135","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 03:58:38 GMT 2021","Mon Aug 23 03:58:38 GMT 2021","146","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 03:58:38 GMT 2021","Mon Aug 23 03:58:38 GMT 2021","165","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 03:58:39 GMT 2021","Mon Aug 23 03:58:39 GMT 2021","216","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 03:58:39 GMT 2021","Mon Aug 23 03:58:39 GMT 2021","140","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
