"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:02:21 GMT 2021","Mon Aug 23 13:02:21 GMT 2021","140","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 13:02:20 GMT 2021","Mon Aug 23 13:02:20 GMT 2021","157","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 13:02:21 GMT 2021","Mon Aug 23 13:02:21 GMT 2021","189","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:02:20 GMT 2021","Mon Aug 23 13:02:20 GMT 2021","172","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:02:20 GMT 2021","Mon Aug 23 13:02:21 GMT 2021","163","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 13:02:17 GMT 2021","Mon Aug 23 13:02:20 GMT 2021","2545","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 13:02:21 GMT 2021","Mon Aug 23 13:02:21 GMT 2021","139","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 13:02:20 GMT 2021","Mon Aug 23 13:02:20 GMT 2021","249","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 13:02:21 GMT 2021","Mon Aug 23 13:02:21 GMT 2021","146","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:02:21 GMT 2021","Mon Aug 23 13:02:21 GMT 2021","142","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
