"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 14:25:55 GMT 2021","Mon Aug 23 14:25:57 GMT 2021","2749","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 14:25:59 GMT 2021","Mon Aug 23 14:25:59 GMT 2021","141","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 14:25:58 GMT 2021","Mon Aug 23 14:25:58 GMT 2021","156","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 14:25:58 GMT 2021","Mon Aug 23 14:25:58 GMT 2021","152","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 14:25:58 GMT 2021","Mon Aug 23 14:25:58 GMT 2021","149","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 14:25:58 GMT 2021","Mon Aug 23 14:25:58 GMT 2021","163","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 14:25:59 GMT 2021","Mon Aug 23 14:25:59 GMT 2021","144","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 14:25:58 GMT 2021","Mon Aug 23 14:25:59 GMT 2021","169","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 14:25:58 GMT 2021","Mon Aug 23 14:25:58 GMT 2021","157","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 14:25:59 GMT 2021","Mon Aug 23 14:25:59 GMT 2021","168","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
