"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:46:18 GMT 2021","Mon Aug 23 13:46:30 GMT 2021","11467","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:45:10 GMT 2021","Mon Aug 23 13:45:22 GMT 2021","11448","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 13:46:07 GMT 2021","Mon Aug 23 13:46:18 GMT 2021","11403","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 13:44:59 GMT 2021","Mon Aug 23 13:45:10 GMT 2021","11431","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 13:44:47 GMT 2021","Mon Aug 23 13:44:59 GMT 2021","11667","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:44:35 GMT 2021","Mon Aug 23 13:44:47 GMT 2021","11793","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 13:45:22 GMT 2021","Mon Aug 23 13:45:33 GMT 2021","11403","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"failed","Mon Aug 23 13:45:44 GMT 2021","Mon Aug 23 13:46:07 GMT 2021","22304","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:44:09 GMT 2021","Mon Aug 23 13:44:35 GMT 2021","25729","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 13:45:33 GMT 2021","Mon Aug 23 13:45:44 GMT 2021","11458","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
