"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 19:36:26 GMT 2021","Tue Aug 24 19:36:26 GMT 2021","174","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Tue Aug 24 19:36:26 GMT 2021","Tue Aug 24 19:36:26 GMT 2021","163","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Tue Aug 24 19:36:26 GMT 2021","Tue Aug 24 19:36:26 GMT 2021","138","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Tue Aug 24 19:36:26 GMT 2021","Tue Aug 24 19:36:26 GMT 2021","144","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Tue Aug 24 19:36:26 GMT 2021","Tue Aug 24 19:36:27 GMT 2021","167","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Tue Aug 24 19:36:26 GMT 2021","Tue Aug 24 19:36:26 GMT 2021","146","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Tue Aug 24 19:36:27 GMT 2021","Tue Aug 24 19:36:27 GMT 2021","158","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Tue Aug 24 19:36:27 GMT 2021","Tue Aug 24 19:36:27 GMT 2021","137","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Tue Aug 24 19:36:23 GMT 2021","Tue Aug 24 19:36:26 GMT 2021","2600","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Tue Aug 24 19:36:27 GMT 2021","Tue Aug 24 19:36:27 GMT 2021","135","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
