"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 17:41:21 GMT 2021","Sun Aug 22 17:41:21 GMT 2021","220","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Sun Aug 22 17:41:13 GMT 2021","Sun Aug 22 17:41:20 GMT 2021","6812","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Sun Aug 22 17:41:20 GMT 2021","Sun Aug 22 17:41:20 GMT 2021","182","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Sun Aug 22 17:41:21 GMT 2021","Sun Aug 22 17:41:21 GMT 2021","140","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Sun Aug 22 17:41:21 GMT 2021","Sun Aug 22 17:41:21 GMT 2021","207","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Sun Aug 22 17:41:20 GMT 2021","Sun Aug 22 17:41:20 GMT 2021","157","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Sun Aug 22 17:41:21 GMT 2021","Sun Aug 22 17:41:21 GMT 2021","152","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Sun Aug 22 17:41:20 GMT 2021","Sun Aug 22 17:41:20 GMT 2021","192","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Sun Aug 22 17:41:20 GMT 2021","Sun Aug 22 17:41:21 GMT 2021","177","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Sun Aug 22 17:41:21 GMT 2021","Sun Aug 22 17:41:21 GMT 2021","173","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
