"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 19:44:34 GMT 2021","Tue Aug 24 19:44:34 GMT 2021","162","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Tue Aug 24 19:44:33 GMT 2021","Tue Aug 24 19:44:33 GMT 2021","184","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Tue Aug 24 19:44:34 GMT 2021","Tue Aug 24 19:44:34 GMT 2021","152","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Tue Aug 24 19:44:33 GMT 2021","Tue Aug 24 19:44:34 GMT 2021","170","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Tue Aug 24 19:44:34 GMT 2021","Tue Aug 24 19:44:34 GMT 2021","172","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Tue Aug 24 19:44:34 GMT 2021","Tue Aug 24 19:44:34 GMT 2021","170","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Tue Aug 24 19:44:34 GMT 2021","Tue Aug 24 19:44:35 GMT 2021","148","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Tue Aug 24 19:44:35 GMT 2021","Tue Aug 24 19:44:35 GMT 2021","161","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Tue Aug 24 19:44:30 GMT 2021","Tue Aug 24 19:44:33 GMT 2021","2764","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Tue Aug 24 19:44:34 GMT 2021","Tue Aug 24 19:44:34 GMT 2021","142","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
