"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:31:21 GMT 2021","Mon Aug 23 13:31:33 GMT 2021","11770","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:29:48 GMT 2021","Mon Aug 23 13:30:00 GMT 2021","11813","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:30:24 GMT 2021","Mon Aug 23 13:30:35 GMT 2021","11806","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 13:30:12 GMT 2021","Mon Aug 23 13:30:24 GMT 2021","11880","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"failed","Mon Aug 23 13:30:47 GMT 2021","Mon Aug 23 13:31:09 GMT 2021","22452","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:30:00 GMT 2021","Mon Aug 23 13:30:12 GMT 2021","11711","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 13:30:35 GMT 2021","Mon Aug 23 13:30:47 GMT 2021","11663","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 13:29:36 GMT 2021","Mon Aug 23 13:29:48 GMT 2021","11830","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 13:29:22 GMT 2021","Mon Aug 23 13:29:36 GMT 2021","14172","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 13:31:09 GMT 2021","Mon Aug 23 13:31:21 GMT 2021","11790","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
