"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 12:58:10 GMT 2021","Mon Aug 23 12:58:10 GMT 2021","271","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 12:58:11 GMT 2021","Mon Aug 23 12:58:11 GMT 2021","217","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 12:58:11 GMT 2021","Mon Aug 23 12:58:11 GMT 2021","170","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 12:58:04 GMT 2021","Mon Aug 23 12:58:10 GMT 2021","5588","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 12:58:11 GMT 2021","Mon Aug 23 12:58:11 GMT 2021","151","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 12:58:11 GMT 2021","Mon Aug 23 12:58:11 GMT 2021","144","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 12:58:10 GMT 2021","Mon Aug 23 12:58:10 GMT 2021","171","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 12:58:10 GMT 2021","Mon Aug 23 12:58:11 GMT 2021","175","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 12:58:10 GMT 2021","Mon Aug 23 12:58:10 GMT 2021","156","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 12:58:11 GMT 2021","Mon Aug 23 12:58:11 GMT 2021","147","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
