"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:46:12 GMT 2021","Mon Aug 23 13:46:24 GMT 2021","11757","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 13:46:24 GMT 2021","Mon Aug 23 13:46:35 GMT 2021","11817","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 13:46:35 GMT 2021","Mon Aug 23 13:46:47 GMT 2021","11749","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 13:47:33 GMT 2021","Mon Aug 23 13:47:45 GMT 2021","11790","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:47:21 GMT 2021","Mon Aug 23 13:47:33 GMT 2021","11895","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 13:45:33 GMT 2021","Mon Aug 23 13:45:48 GMT 2021","14612","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"failed","Mon Aug 23 13:46:59 GMT 2021","Mon Aug 23 13:47:21 GMT 2021","22581","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:46:47 GMT 2021","Mon Aug 23 13:46:59 GMT 2021","11751","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 13:46:00 GMT 2021","Mon Aug 23 13:46:12 GMT 2021","11850","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:45:48 GMT 2021","Mon Aug 23 13:46:00 GMT 2021","11848","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
