"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:58:22 GMT 2021","Mon Aug 23 13:58:34 GMT 2021","11725","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 13:56:35 GMT 2021","Mon Aug 23 13:56:49 GMT 2021","13945","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 13:57:01 GMT 2021","Mon Aug 23 13:57:13 GMT 2021","11719","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:56:49 GMT 2021","Mon Aug 23 13:57:01 GMT 2021","11828","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"failed","Mon Aug 23 13:58:00 GMT 2021","Mon Aug 23 13:58:22 GMT 2021","22575","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:57:36 GMT 2021","Mon Aug 23 13:57:48 GMT 2021","11766","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 13:58:34 GMT 2021","Mon Aug 23 13:58:46 GMT 2021","11755","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:57:13 GMT 2021","Mon Aug 23 13:57:25 GMT 2021","11813","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 13:57:25 GMT 2021","Mon Aug 23 13:57:36 GMT 2021","11684","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 13:57:48 GMT 2021","Mon Aug 23 13:58:00 GMT 2021","11785","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
